Time, Date, Ch1, Ch2, NAE
3556206844,2016/9/8 19:14:4,357,32,0
3556206845,2016/9/8 19:14:5,360,44,0
3556207133,2016/9/8 19:18:53,538,45,0
3556207141,2016/9/8 19:19:1,308,39,0
3556207142,2016/9/8 19:19:2,166,31,0
3556207444,2016/9/8 19:24:4,346,40,0
3556207733,2016/9/8 19:28:53,463,38,0
3556207744,2016/9/8 19:29:4,242,36,0
3556207745,2016/9/8 19:29:5,223,42,0
3556208034,2016/9/8 19:33:54,454,40,0
3556208042,2016/9/8 19:34:2,245,42,0
3556208043,2016/9/8 19:34:3,198,44,0
3556208345,2016/9/8 19:39:5,368,31,0
3556208633,2016/9/8 19:43:53,241,36,0
3556208644,2016/9/8 19:44:4,337,35,0
3556208645,2016/9/8 19:44:5,241,37,0
3556208933,2016/9/8 19:48:53,386,38,0
3556208942,2016/9/8 19:49:2,375,43,0
3556209234,2016/9/8 19:53:54,598,44,0
3556209242,2016/9/8 19:54:2,224,43,0
3556209243,2016/9/8 19:54:3,245,44,0
3556209533,2016/9/8 19:58:53,625,43,0
3556209542,2016/9/8 19:59:2,349,38,0
3556209543,2016/9/8 19:59:3,361,37,0
3556209833,2016/9/8 20:3:53,482,39,0
3556209844,2016/9/8 20:4:4,386,41,0
3556209845,2016/9/8 20:4:5,220,39,0
3556210133,2016/9/8 20:8:53,592,49,0
3556210141,2016/9/8 20:9:1,255,46,0
3556210142,2016/9/8 20:9:2,360,40,0
3556210433,2016/9/8 20:13:53,383,38,0
3556210442,2016/9/8 20:14:2,354,38,0
3556210443,2016/9/8 20:14:3,304,34,0
3556210742,2016/9/8 20:19:2,309,32,0
3556210743,2016/9/8 20:19:3,266,39,0
3556210865,2016/9/8 20:21:5,33,164,0
3556211033,2016/9/8 20:23:53,375,30,0
3556211044,2016/9/8 20:24:4,151,36,0
